driverRef,circuitRef,date,position
gasly,zandvoort,2024-08-25,9.0
gasly,monza,2024-09-01,15.0
gasly,baku,2024-09-15,12.0
gasly,marina_bay,2024-09-22,17.0
gasly,americas,2024-10-20,12.0
gasly,rodriguez,2024-10-27,10.0
gasly,interlagos,2024-11-03,3.0
gasly,losail,2024-12-01,5.0
gasly,yas_marina,2024-12-08,7.0
hamilton,bahrain,2024-03-02,7.0
hamilton,jeddah,2024-03-09,9.0
hamilton,suzuka,2024-04-07,9.0
hamilton,shanghai,2024-04-21,9.0
hamilton,miami,2024-05-05,6.0
hamilton,imola,2024-05-19,6.0
hamilton,monaco,2024-05-26,7.0
hamilton,villeneuve,2024-06-09,4.0
hamilton,catalunya,2024-06-23,3.0
hamilton,red_bull_ring,2024-06-30,4.0
hamilton,silverstone,2024-07-07,1.0
hamilton,hungaroring,2024-07-21,3.0
hamilton,spa,2024-07-28,1.0
hamilton,zandvoort,2024-08-25,8.0
hamilton,monza,2024-09-01,5.0
hamilton,baku,2024-09-15,9.0
hamilton,marina_bay,2024-09-22,6.0
hamilton,rodriguez,2024-10-27,4.0
hamilton,interlagos,2024-11-03,10.0
hamilton,vegas,2024-11-23,2.0
hamilton,losail,2024-12-01,12.0
hamilton,yas_marina,2024-12-08,4.0
hulkenberg,bahrain,2024-03-02,16.0
hulkenberg,jeddah,2024-03-09,10.0
hulkenberg,albert_park,2024-03-24,9.0
hulkenberg,suzuka,2024-04-07,11.0
hulkenberg,shanghai,2024-04-21,10.0
hulkenberg,miami,2024-05-05,11.0
hulkenberg,imola,2024-05-19,11.0
hulkenberg,villeneuve,2024-06-09,11.0
hulkenberg,catalunya,2024-06-23,11.0
hulkenberg,red_bull_ring,2024-06-30,6.0
hulkenberg,silverstone,2024-07-07,6.0
hulkenberg,hungaroring,2024-07-21,13.0
hulkenberg,spa,2024-07-28,18.0
hulkenberg,zandvoort,2024-08-25,11.0
hulkenberg,monza,2024-09-01,17.0
hulkenberg,baku,2024-09-15,11.0
hulkenberg,marina_bay,2024-09-22,9.0
hulkenberg,americas,2024-10-20,8.0
hulkenberg,rodriguez,2024-10-27,9.0
hulkenberg,vegas,2024-11-23,8.0
hulkenberg,yas_marina,2024-12-08,8.0
kevin_magnussen,bahrain,2024-03-02,12.0
kevin_magnussen,jeddah,2024-03-09,12.0
kevin_magnussen,albert_park,2024-03-24,10.0
kevin_magnussen,suzuka,2024-04-07,13.0
kevin_magnussen,shanghai,2024-04-21,16.0
kevin_magnussen,miami,2024-05-05,19.0
kevin_magnussen,imola,2024-05-19,12.0
kevin_magnussen,villeneuve,2024-06-09,12.0
kevin_magnussen,catalunya,2024-06-23,17.0
kevin_magnussen,red_bull_ring,2024-06-30,8.0
kevin_magnussen,silverstone,2024-07-07,12.0
kevin_magnussen,hungaroring,2024-07-21,15.0
kevin_magnussen,spa,2024-07-28,14.0
kevin_magnussen,zandvoort,2024-08-25,18.0
kevin_magnussen,monza,2024-09-01,10.0
kevin_magnussen,marina_bay,2024-09-22,19.0
kevin_magnussen,americas,2024-10-20,11.0
kevin_magnussen,rodriguez,2024-10-27,7.0
kevin_magnussen,vegas,2024-11-23,12.0
kevin_magnussen,losail,2024-12-01,9.0
kevin_magnussen,yas_marina,2024-12-08,16.0
lawson,americas,2024-10-20,9.0
lawson,rodriguez,2024-10-27,16.0
lawson,interlagos,2024-11-03,9.0
lawson,vegas,2024-11-23,16.0
lawson,losail,2024-12-01,14.0
lawson,yas_marina,2024-12-08,17.0
leclerc,bahrain,2024-03-02,4.0
leclerc,jeddah,2024-03-09,3.0
leclerc,albert_park,2024-03-24,2.0
leclerc,suzuka,2024-04-07,4.0
leclerc,shanghai,2024-04-21,4.0
leclerc,miami,2024-05-05,3.0
leclerc,imola,2024-05-19,3.0
leclerc,monaco,2024-05-26,1.0
leclerc,catalunya,2024-06-23,5.0
leclerc,red_bull_ring,2024-06-30,11.0
leclerc,silverstone,2024-07-07,14.0
leclerc,hungaroring,2024-07-21,4.0
leclerc,spa,2024-07-28,3.0
leclerc,zandvoort,2024-08-25,3.0
leclerc,monza,2024-09-01,1.0
leclerc,baku,2024-09-15,2.0
leclerc,marina_bay,2024-09-22,5.0
leclerc,americas,2024-10-20,1.0
leclerc,rodriguez,2024-10-27,3.0
leclerc,interlagos,2024-11-03,5.0
leclerc,vegas,2024-11-23,4.0
leclerc,losail,2024-12-01,2.0
leclerc,yas_marina,2024-12-08,3.0
max_verstappen,bahrain,2024-03-02,1.0
max_verstappen,jeddah,2024-03-09,1.0
max_verstappen,suzuka,2024-04-07,1.0
max_verstappen,shanghai,2024-04-21,1.0
max_verstappen,miami,2024-05-05,2.0
max_verstappen,imola,2024-05-19,1.0
max_verstappen,monaco,2024-05-26,6.0
max_verstappen,villeneuve,2024-06-09,1.0
max_verstappen,catalunya,2024-06-23,1.0
max_verstappen,red_bull_ring,2024-06-30,5.0
max_verstappen,silverstone,2024-07-07,2.0
max_verstappen,hungaroring,2024-07-21,5.0
max_verstappen,spa,2024-07-28,4.0
max_verstappen,zandvoort,2024-08-25,2.0
max_verstappen,monza,2024-09-01,6.0
max_verstappen,baku,2024-09-15,5.0
max_verstappen,marina_bay,2024-09-22,2.0
max_verstappen,americas,2024-10-20,3.0
max_verstappen,rodriguez,2024-10-27,6.0
max_verstappen,interlagos,2024-11-03,1.0
max_verstappen,vegas,2024-11-23,5.0
max_verstappen,losail,2024-12-01,1.0
max_verstappen,yas_marina,2024-12-08,6.0
norris,bahrain,2024-03-02,6.0
norris,jeddah,2024-03-09,8.0
norris,albert_park,2024-03-24,3.0
norris,suzuka,2024-04-07,5.0
norris,shanghai,2024-04-21,2.0
norris,miami,2024-05-05,1.0
norris,imola,2024-05-19,2.0
norris,monaco,2024-05-26,4.0
norris,villeneuve,2024-06-09,2.0
norris,catalunya,2024-06-23,2.0
norris,red_bull_ring,2024-06-30,20.0
norris,silverstone,2024-07-07,3.0
norris,hungaroring,2024-07-21,2.0
norris,spa,2024-07-28,5.0
norris,zandvoort,2024-08-25,1.0
norris,monza,2024-09-01,3.0
norris,baku,2024-09-15,4.0
norris,marina_bay,2024-09-22,1.0
norris,americas,2024-10-20,4.0
norris,rodriguez,2024-10-27,2.0
norris,interlagos,2024-11-03,6.0
norris,vegas,2024-11-23,6.0
norris,losail,2024-12-01,10.0
norris,yas_marina,2024-12-08,1.0
ocon,bahrain,2024-03-02,17.0
ocon,jeddah,2024-03-09,13.0
ocon,albert_park,2024-03-24,16.0
ocon,suzuka,2024-04-07,15.0
ocon,shanghai,2024-04-21,11.0
ocon,miami,2024-05-05,10.0
ocon,imola,2024-05-19,14.0
ocon,villeneuve,2024-06-09,10.0
ocon,catalunya,2024-06-23,10.0
ocon,red_bull_ring,2024-06-30,12.0
ocon,silverstone,2024-07-07,16.0
ocon,hungaroring,2024-07-21,18.0
ocon,spa,2024-07-28,9.0
ocon,zandvoort,2024-08-25,15.0
ocon,monza,2024-09-01,14.0
ocon,baku,2024-09-15,15.0
ocon,marina_bay,2024-09-22,13.0
ocon,americas,2024-10-20,18.0
ocon,rodriguez,2024-10-27,13.0
ocon,interlagos,2024-11-03,2.0
ocon,vegas,2024-11-23,17.0
perez,bahrain,2024-03-02,2.0
perez,jeddah,2024-03-09,2.0
perez,albert_park,2024-03-24,5.0
perez,suzuka,2024-04-07,2.0
perez,shanghai,2024-04-21,3.0
perez,miami,2024-05-05,4.0
perez,imola,2024-05-19,8.0
perez,catalunya,2024-06-23,8.0
perez,red_bull_ring,2024-06-30,7.0
perez,silverstone,2024-07-07,17.0
perez,hungaroring,2024-07-21,7.0
perez,spa,2024-07-28,7.0
perez,zandvoort,2024-08-25,6.0
perez,monza,2024-09-01,8.0
perez,baku,2024-09-15,17.0
perez,marina_bay,2024-09-22,10.0
perez,americas,2024-10-20,7.0
perez,rodriguez,2024-10-27,17.0
perez,interlagos,2024-11-03,11.0
perez,vegas,2024-11-23,10.0
piastri,bahrain,2024-03-02,8.0
piastri,jeddah,2024-03-09,4.0
piastri,albert_park,2024-03-24,4.0
piastri,suzuka,2024-04-07,8.0
piastri,shanghai,2024-04-21,8.0
piastri,miami,2024-05-05,13.0
piastri,imola,2024-05-19,4.0
piastri,monaco,2024-05-26,2.0
piastri,villeneuve,2024-06-09,5.0
piastri,catalunya,2024-06-23,7.0
piastri,red_bull_ring,2024-06-30,2.0
piastri,silverstone,2024-07-07,4.0
piastri,hungaroring,2024-07-21,1.0
piastri,spa,2024-07-28,2.0
piastri,zandvoort,2024-08-25,4.0
piastri,monza,2024-09-01,2.0
piastri,baku,2024-09-15,1.0
piastri,marina_bay,2024-09-22,3.0
piastri,americas,2024-10-20,5.0
piastri,rodriguez,2024-10-27,8.0
piastri,interlagos,2024-11-03,8.0
piastri,vegas,2024-11-23,7.0
piastri,losail,2024-12-01,3.0
piastri,yas_marina,2024-12-08,10.0
ricciardo,bahrain,2024-03-02,13.0
ricciardo,jeddah,2024-03-09,16.0
ricciardo,albert_park,2024-03-24,12.0
ricciardo,miami,2024-05-05,15.0
ricciardo,imola,2024-05-19,13.0
ricciardo,monaco,2024-05-26,12.0
ricciardo,villeneuve,2024-06-09,8.0
ricciardo,catalunya,2024-06-23,15.0
ricciardo,red_bull_ring,2024-06-30,9.0
ricciardo,silverstone,2024-07-07,13.0
ricciardo,hungaroring,2024-07-21,12.0
ricciardo,spa,2024-07-28,10.0
ricciardo,zandvoort,2024-08-25,12.0
ricciardo,monza,2024-09-01,13.0
ricciardo,baku,2024-09-15,13.0
ricciardo,marina_bay,2024-09-22,18.0
russell,bahrain,2024-03-02,5.0
russell,jeddah,2024-03-09,6.0
russell,albert_park,2024-03-24,17.0
russell,suzuka,2024-04-07,7.0
russell,shanghai,2024-04-21,6.0
russell,miami,2024-05-05,8.0
russell,imola,2024-05-19,7.0
russell,monaco,2024-05-26,5.0
russell,villeneuve,2024-06-09,3.0
russell,catalunya,2024-06-23,4.0
russell,red_bull_ring,2024-06-30,1.0
russell,hungaroring,2024-07-21,8.0
russell,zandvoort,2024-08-25,7.0
russell,monza,2024-09-01,7.0
russell,baku,2024-09-15,3.0
russell,marina_bay,2024-09-22,4.0
russell,americas,2024-10-20,6.0
russell,rodriguez,2024-10-27,5.0
russell,interlagos,2024-11-03,4.0
russell,vegas,2024-11-23,1.0
russell,losail,2024-12-01,4.0
russell,yas_marina,2024-12-08,5.0
sainz,bahrain,2024-03-02,3.0
sainz,albert_park,2024-03-24,1.0
sainz,suzuka,2024-04-07,3.0
sainz,shanghai,2024-04-21,5.0
sainz,miami,2024-05-05,5.0
sainz,imola,2024-05-19,5.0
sainz,monaco,2024-05-26,3.0
sainz,catalunya,2024-06-23,6.0
sainz,red_bull_ring,2024-06-30,3.0
sainz,silverstone,2024-07-07,5.0
sainz,hungaroring,2024-07-21,6.0
sainz,spa,2024-07-28,6.0
sainz,zandvoort,2024-08-25,5.0
sainz,monza,2024-09-01,4.0
sainz,baku,2024-09-15,18.0
sainz,marina_bay,2024-09-22,7.0
sainz,americas,2024-10-20,2.0
sainz,rodriguez,2024-10-27,1.0
sainz,vegas,2024-11-23,3.0
sainz,losail,2024-12-01,6.0
sainz,yas_marina,2024-12-08,2.0
sargeant,bahrain,2024-03-02,20.0
sargeant,jeddah,2024-03-09,14.0
sargeant,suzuka,2024-04-07,17.0
sargeant,shanghai,2024-04-21,17.0
sargeant,imola,2024-05-19,17.0
sargeant,monaco,2024-05-26,15.0
sargeant,catalunya,2024-06-23,20.0
sargeant,red_bull_ring,2024-06-30,19.0
sargeant,silverstone,2024-07-07,11.0
sargeant,hungaroring,2024-07-21,17.0
sargeant,spa,2024-07-28,17.0
sargeant,zandvoort,2024-08-25,16.0
stroll,bahrain,2024-03-02,10.0
stroll,albert_park,2024-03-24,6.0
stroll,suzuka,2024-04-07,12.0
stroll,shanghai,2024-04-21,15.0
stroll,miami,2024-05-05,17.0
stroll,imola,2024-05-19,9.0
stroll,monaco,2024-05-26,14.0
stroll,villeneuve,2024-06-09,7.0
stroll,catalunya,2024-06-23,14.0
stroll,red_bull_ring,2024-06-30,13.0
stroll,silverstone,2024-07-07,7.0
stroll,hungaroring,2024-07-21,10.0
stroll,spa,2024-07-28,11.0
stroll,zandvoort,2024-08-25,13.0
stroll,monza,2024-09-01,19.0
stroll,baku,2024-09-15,19.0
stroll,marina_bay,2024-09-22,14.0
stroll,americas,2024-10-20,15.0
stroll,rodriguez,2024-10-27,11.0
stroll,vegas,2024-11-23,15.0
stroll,yas_marina,2024-12-08,14.0
tsunoda,bahrain,2024-03-02,14.0
tsunoda,jeddah,2024-03-09,15.0
tsunoda,albert_park,2024-03-24,7.0
tsunoda,suzuka,2024-04-07,10.0
tsunoda,miami,2024-05-05,7.0
tsunoda,imola,2024-05-19,10.0
tsunoda,monaco,2024-05-26,8.0
tsunoda,villeneuve,2024-06-09,14.0
tsunoda,catalunya,2024-06-23,19.0
tsunoda,red_bull_ring,2024-06-30,14.0
tsunoda,silverstone,2024-07-07,10.0
tsunoda,hungaroring,2024-07-21,9.0
tsunoda,spa,2024-07-28,16.0
tsunoda,zandvoort,2024-08-25,17.0
tsunoda,marina_bay,2024-09-22,12.0
tsunoda,americas,2024-10-20,14.0
tsunoda,interlagos,2024-11-03,7.0
tsunoda,vegas,2024-11-23,9.0
tsunoda,losail,2024-12-01,13.0
tsunoda,yas_marina,2024-12-08,12.0
zhou,bahrain,2024-03-02,11.0
zhou,jeddah,2024-03-09,18.0
zhou,albert_park,2024-03-24,15.0
zhou,shanghai,2024-04-21,14.0
zhou,miami,2024-05-05,14.0
zhou,imola,2024-05-19,15.0
zhou,monaco,2024-05-26,16.0
zhou,villeneuve,2024-06-09,15.0
zhou,catalunya,2024-06-23,13.0
zhou,red_bull_ring,2024-06-30,17.0
zhou,silverstone,2024-07-07,18.0
zhou,hungaroring,2024-07-21,19.0
zhou,zandvoort,2024-08-25,20.0
zhou,monza,2024-09-01,18.0
zhou,baku,2024-09-15,14.0
zhou,marina_bay,2024-09-22,15.0
zhou,americas,2024-10-20,19.0
zhou,rodriguez,2024-10-27,15.0
zhou,interlagos,2024-11-03,15.0
zhou,vegas,2024-11-23,13.0
zhou,losail,2024-12-01,8.0
zhou,yas_marina,2024-12-08,13.0
